set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
4ce6888c-e639-4a0c-8490-2a78bcaa41e9,CIPROFLOXACIN,10544-607,"Blenheim Pharmacal, Inc.","TABLET, FILM COATED",ANDA,silent,,
6f650345-0bca-4fe9-96eb-4d7ac80928ec,NEXIUM,16590-625,STAT RX USA LLC,"CAPSULE, DELAYED RELEASE",NDA,silent,,
4144009e-e956-4fec-b5b7-a4950168e055,Ciprofloxacin hydrochloride,10544-606,"Blenheim Pharmacal, Inc.",TABLET,ANDA,silent,,
56ffd662-60a6-4b43-a7ea-f778714dfbbd,Benazepril Hydrochloride,21695-612,Rebel Distributors Corp.,"TABLET, FILM COATED",ANDA,silent,,
f3a50f13-b028-4135-8f20-bfb62a9bc0a9,Clarithromycin,21695-557,Rebel Distributors Corp.,TABLET,ANDA,silent,,
02500709-7f2c-4251-bd8c-94ab6cdadd4c,BUPROPION HYDROCHLORIDE,16590-036,STAT RX USA LLC,"TABLET, FILM COATED, EXTENDED RELEASE",ANDA,silent,,
8fa594c9-75f3-474b-bba3-b8110bafb82c,NABUMETONE,16590-160,STAT RX USA LLC,TABLET,ANDA,silent,,
bc5aaeb2-a7c3-4ff5-a2be-4eaf162453fb,Tindamax,54868-6155,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
c0625060-29c7-4cda-b6f9-cfa15e59775e,ENJUVIA,54868-6165,"Physicians Total Care, Inc.",TABLET,NDA,silent,,
1448e72e-dc7f-4618-9b37-a82c59823839,Anastrozole,54868-6130,"Physicians Total Care, Inc.",TABLET,ANDA,silent,,
14d06124-1eef-4f97-b1f3-18620819ae1a,Leflunomide,54868-6170,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
dd749fb9-e279-4958-9534-ad75a5b6754b,Simcor,54868-5886,"Physicians Total Care, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",NDA,silent,,
a49c7e1a-ed02-439a-9b02-bef7d86ed464,Hydroxyzine,10544-209,"Blenheim Pharmacal, Inc.","TABLET, FILM COATED",ANDA,silent,,
d794dece-8d16-4c53-a23b-d2006dc6e833,Hydroxyzine,10544-210,"Blenheim Pharmacal, Inc.","TABLET, FILM COATED",ANDA,silent,,
d823148f-9c5a-4c4b-962f-633f0b2e1dd8,CIMETIDINE,16590-265,STAT RX USA LLC,"TABLET, FILM COATED",ANDA,silent,,
0d739f0c-a206-4d70-9f63-af1c87005d83,METOPROLOL TARTRATE,16590-317,STAT RX USA LLC,"TABLET, FILM COATED",ANDA,set_id_not_found_or_empty,,
ba3db17e-5697-46f0-8fb3-dd19e93e1a08,NUCYNTA,16590-889,STAT RX USA LLC,"TABLET, FILM COATED",NDA,silent,,
9a6df709-e016-44e1-8e1d-dea46689c3c8,Ketorolac Tromethamine,68387-440,Keltman Pharmaceuticals Inc.,"TABLET, FILM COATED",ANDA,silent,,
4b6d1f53-57c4-435a-ac4b-eb12c6cab62e,Ibuprofen,10544-014,"Blenheim Pharmacal, Inc.",TABLET,ANDA,silent,,
b3bbc16e-8305-469a-9dc3-8e698339a98b,Levitra,54868-4984,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
3e823928-c853-4617-acad-21b27174aa7b,Erythromycin,54868-1387,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
d82283c9-57b9-483e-8de4-a92cac6d263f,Fluoxetine Hydrochloride,54868-4560,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
9b3d078b-d12f-47ef-baa4-35b88b090ed4,SAVELLA,16590-845,STAT RX USA LLC,"TABLET, FILM COATED",NDA,silent,,
989a17e2-b7fd-478c-a584-327d368247ce,MS CONTIN,16590-884,STAT RX USA LLC,"TABLET, FILM COATED, EXTENDED RELEASE",NDA,silent,,
8438b406-9259-46d1-b26a-90fdcb5cbc50,Glucotrol XL,54868-4420,"Physicians Total Care, Inc.","TABLET, EXTENDED RELEASE",NDA,silent,,
fdb12700-116b-4203-8d74-9a94b9401fe6,Coreg,54868-4421,"Physicians Total Care, Inc.","TABLET, FILM COATED",NDA,silent,,
76185935-589d-41ba-a96c-3739eefd6b7a,Gemfibrozil,0143-9707,West-ward Pharmaceutical Corp,"TABLET, FILM COATED",ANDA,silent,,
d86ced85-6767-4218-bf88-e294b44d1e74,HYDROCODONE BITARTRATE AND IBUPROFEN,54868-4976,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
