set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
4ce78bf6-61ec-435f-9af5-c86df440892a,Amitriptyline Hydrochloride,71335-2398,Bryant Ranch Prepack,TABLET,ANDA,silent,,
60cadfd7-82b5-4207-97e1-1dd0655efb27,Levothyroxine sodium,0480-8704,"Teva Pharmaceuticals, Inc.",TABLET,ANDA,silent,,
fc9c2149-8d40-401b-af13-5ae7f953950a,"Efavirenz, Emtricitabine and Tenofovir Disoproxil Fumarate",0093-5234,"Teva Pharmaceuticals USA, Inc.","TABLET, FILM COATED",ANDA,silent,,
7b6abc78-b2d6-4949-b109-4c857f37ef12,Colchicine,50090-7205,A-S Medication Solutions,TABLET,ANDA,silent,,
4a2a5b63-5b14-6975-e054-00144ff8d46c,ropinirole,16729-236,Accord Healthcare Inc.,"TABLET, FILM COATED",ANDA,silent,,
4bd7193f-a81a-4909-90c2-7f324fc6ddfd,Lamotrigine,62332-418,Alembic Pharmaceuticals Inc.,"TABLET, EXTENDED RELEASE",ANDA,silent,,
faee013c-cad2-4abb-904c-e6ff79ba778c,Lamotrigine,46708-418,Alembic Pharmaceuticals Limited,"TABLET, EXTENDED RELEASE",ANDA,silent,,
a6233381-3043-4e9a-aaa6-a6b105e5142b,Levothyroxine sodium,16729-452,Accord Healthcare Inc.,TABLET,ANDA,silent,,
cd720ef0-1cb8-40bc-a657-10accb6542b6,Colchicine,70771-1396,Zydus Lifesciences Limited,TABLET,ANDA,set_id_not_found_or_empty,,
ecb7a528-699f-4e51-9887-dee60456da2f,Lamotrigine,70771-1518,Zydus Lifesciences Limited,"TABLET, EXTENDED RELEASE",ANDA,set_id_not_found_or_empty,,
231fcdf8-c642-4074-8be8-53ee9c918f18,Levothyroxine sodium,71335-1828,Bryant Ranch Prepack,TABLET,ANDA,silent,,
3c14a558-2df4-4d93-97dd-640dec6ee785,Tranylcypromine,43547-655,"Solco Healthcare US, LLC",TABLET,ANDA,silent,,
b57d0cc5-9fc7-496a-9bfa-417a288bb825,Levothyroxine sodium,71335-2007,Bryant Ranch Prepack,TABLET,ANDA,silent,,
2b361866-e981-567c-e063-6294a90a5a5c,Levothyroxine Sodium,72189-605,Direct_Rx,TABLET,ANDA,silent,,
7ea3c60a-45c7-44cc-afc2-d87fa53993c0,AUSTEDO XR,68546-479,"Teva Neuroscience, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",NDA,silent,,
9ff5ad8e-f28c-4322-be6e-072487878c12,Levothyroxine sodium,50090-7526,A-S Medication Solutions,TABLET,ANDA,silent,,
65b266af-72a5-4409-ab55-bd14341135aa,Levothyroxine sodium,50090-7527,A-S Medication Solutions,TABLET,ANDA,silent,,
3e2c9a35-6a39-41d7-ad84-3c0bb8894b09,LAMICTAL,0173-0781,GlaxoSmithKline LLC,"TABLET, FILM COATED, EXTENDED RELEASE",NDA,silent,,
a219a68e-7ce5-4e9d-a0de-ec76960040f6,Amitriptyline Hydrochloride,16571-105,"Rising Pharma Holdings, Inc.",TABLET,ANDA,silent,,
11fa3fc9-6776-49a6-b1c1-653f627c3e58,RYDAPT,0078-0698,Novartis Pharmaceuticals Corporation,"CAPSULE, LIQUID FILLED",NDA,silent,,
e0aa02a9-3e2d-44c5-a6b9-843c80102249,Amitriptyline Hydrochloride,70518-4365,REMEDYREPACK INC.,TABLET,ANDA,silent,,
83854522-f22e-491f-8392-c8b1f9441760,Levothyroxine sodium,68788-7942,Preferred Pharmaceuticals Inc.,TABLET,ANDA,silent,,
5823b3a2-3256-4d94-97b4-ec6b940312f4,ropinirole hydrochloride,43547-599,"SOLCO HEALTHCARE US, LLC","TABLET, FILM COATED",ANDA,silent,,
0fa2e2f5-401b-45c1-b6a5-d02f6faf509d,Levothyroxine sodium,70518-4396,REMEDYREPACK INC.,TABLET,ANDA,silent,,
7734ef0b-584f-42dd-a8b5-adbdf4e4df93,ropinirole hydrochloride,43547-272,"SOLCO HEALTHCARE US, LLC","TABLET, FILM COATED",ANDA,silent,,
eb436371-d188-4803-a864-07b90c357e57,Lamotrigine,68382-983,Zydus Pharmaceuticals USA Inc.,"TABLET, EXTENDED RELEASE",ANDA,silent,,
94461af3-11f1-4670-95d4-2965b9538ae3,Neoral,0078-0246,Novartis Pharmaceuticals Corporation,"CAPSULE, LIQUID FILLED",NDA,silent,,
a86757b3-09c5-fd3b-1223-244e94f50a66,Orilissa,0074-0038,AbbVie Inc.,"TABLET, FILM COATED",NDA,silent,,
b7d23ac2-e776-9f62-3290-c64c2d6eb353,Hysingla ER,59011-271,Purdue Pharma LP,"TABLET, EXTENDED RELEASE",NDA,silent,,
36af0286-e447-4098-b3f2-772debd58667,Levothyroxine sodium,50090-6103,A-S Medication Solutions,TABLET,ANDA,silent,,
d5b11dac-1acd-4aa2-b837-e3b90d4f6922,Levothyroxine sodium,50090-6602,A-S Medication Solutions,TABLET,ANDA,silent,,
0cf58732-c242-49b0-8e3f-248778b4458d,Ranolazine,68462-319,"Glenmark Pharmaceuticals Inc., USA","TABLET, FILM COATED, EXTENDED RELEASE",ANDA,silent,,
147d2f8f-842d-4f09-86b0-a66edce27778,Amitriptyline Hydrochloride,68788-8788,Preferred Pharmaceuticals Inc.,TABLET,ANDA,silent,,
24c451c0-4cfb-37f3-e063-6394a90a895e,ORLYNVAH,81153-100,ITERUM THERAPEUTICS US LIMITED,"TABLET, FILM COATED",NDA,silent,,
42a26f8a-dc67-42e4-abb0-d2602afb1b7d,Levothyroxine sodium,87063-088,ASCLEMED USA INC.,TABLET,ANDA,silent,,
