"drug_name","generic_name","brand_generic","category","dosage_form","route","active_ingredients","single_or_combo","excipients_raw","gluten_flag","flagged_excipients","flagged_excipient_flags","ndc_code","package_ndc","approval_type","marketing_status","manufacturer","set_id","dailymed_url"
"Safetussin High Blood Pressure and diabetes","Acetaminophen, Dextromethorphan Hydrobromide, and Guaifenesin","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","combo","ANHYDROUS CITRIC ACID; EDETATE DISODIUM; GLYCERIN; MENTHOL, UNSPECIFIED FORM; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SODIUM CITRATE, UNSPECIFIED FORM; SUCRALOSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","55505-217","55505-217-36","OTC Monograph Drug","active","KRAMER LABORATORIES","279e309c-040d-4001-808d-b7d986a9a1d8","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=279e309c-040d-4001-808d-b7d986a9a1d8"
"Butalbital, Acetaminophen and Caffeine","Butalbital, Acetaminophen and Caffeine","generic","analgesic_antipyretic","TABLET","ORAL","BUTALBITAL; ACETAMINOPHEN; CAFFEINE","combo","SILICON DIOXIDE; CROSCARMELLOSE SODIUM; CROSPOVIDONE; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE; STARCH, PREGELATINIZED CORN; STEARIC ACID","gluten_free","CROSCARMELLOSE SODIUM; STARCH, PREGELATINIZED CORN","gluten_free; gluten_free","67296-2204","67296-2204-1","ANDA","active","Redpharm Drug","4727e806-102a-3a28-e063-6294a90ab6e9","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=4727e806-102a-3a28-e063-6294a90ab6e9"
"Daytime Cold and Flu","Acetaminophen, Dextromethorphan Hydrobromide, and Phenylephrine Hydrochloride","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","BUTYLATED HYDROXYANISOLE; BUTYLATED HYDROXYTOLUENE; FD&C YELLOW NO. 6; GELATIN, UNSPECIFIED; GLYCERIN; MANNITOL; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SORBITAN; SORBITOL","gluten_free","","","66715-6715","","OTC Monograph Drug","active","Lil' Drug Store Products, Inc.","5b493ed7-9044-4841-9935-236d0bdc71a9","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=5b493ed7-9044-4841-9935-236d0bdc71a9"
"HYDROCODONE BITARTRATE AND ACETAMINOPHEN","HYDROCODONE BITARTRATE AND ACETAMINOPHEN","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","CROSPOVIDONE (15 MPA.S AT 5%); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; STARCH, CORN; SILICON DIOXIDE; STEARIC ACID","gluten_free","STARCH, CORN","gluten_free","0406-0123","0406-0123-20","ANDA","active","SpecGx LLC","73c1059b-0c7d-42ef-9827-f018858fc447","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=73c1059b-0c7d-42ef-9827-f018858fc447"
"HYDROCODONE BITARTRATE AND ACETAMINOPHEN","HYDROCODONE BITARTRATE AND ACETAMINOPHEN","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","CROSPOVIDONE (15 MPA.S AT 5%); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; STARCH, CORN; SILICON DIOXIDE; STEARIC ACID","gluten_free","STARCH, CORN","gluten_free","0406-0124","0406-0124-20","ANDA","active","SpecGx LLC","73c1059b-0c7d-42ef-9827-f018858fc447","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=73c1059b-0c7d-42ef-9827-f018858fc447"
"HYDROCODONE BITARTRATE AND ACETAMINOPHEN","HYDROCODONE BITARTRATE AND ACETAMINOPHEN","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","CROSPOVIDONE (15 MPA.S AT 5%); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; STARCH, CORN; SILICON DIOXIDE; STEARIC ACID","gluten_free","STARCH, CORN","gluten_free","0406-0125","0406-0125-20","ANDA","active","SpecGx LLC","73c1059b-0c7d-42ef-9827-f018858fc447","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=73c1059b-0c7d-42ef-9827-f018858fc447"
"Daytime Cold and Flu","Acetaminophen, Dextromethorphan Hydrobromide, and Phenylephrine Hydrochloride","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","FD&C YELLOW NO. 6; FD&C RED NO. 40; GELATIN, UNSPECIFIED; GLYCERIN; LECITHIN, SOYBEAN; LIGHT MINERAL OIL; MANNITOL; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SORBITAN; SORBITOL","gluten_free","","","66715-6815","","OTC Monograph Drug","active","Lil' Drug Store Products, Inc.","77a7ff9a-a414-4053-8d8d-369907d4380d","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=77a7ff9a-a414-4053-8d8d-369907d4380d"
"Circle K Nighttime Cold and Flu","Acetaminophen, Dextromethorphan Hydrobromide, and Doxylamine Succinate","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE","combo","D&C YELLOW NO. 10; FD&C BLUE NO. 1; GELATIN, UNSPECIFIED; GLYCERIN; LECITHIN, SOYBEAN; LIGHT MINERAL OIL; MANNITOL; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SORBITAN; SORBITOL","gluten_free","","","66715-5572","","OTC Monograph Drug","active","Lil' Drug Store Products, Inc.","7c5faec2-28c6-4c15-a268-d8b578140b74","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7c5faec2-28c6-4c15-a268-d8b578140b74"
"Circle K Nighttime Cold and Flu","Acetaminophen, Dextromethorphan Hydrobromide, and Doxylamine Succinate","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE","combo","D&C YELLOW NO. 10; FD&C BLUE NO. 1; GELATIN, UNSPECIFIED; GLYCERIN; LECITHIN, SOYBEAN; LIGHT MINERAL OIL; MANNITOL; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SORBITAN; SORBITOL","gluten_free","","","66715-5772","","OTC Monograph Drug","completed","Lil' Drug Store Products, Inc.","7c5faec2-28c6-4c15-a268-d8b578140b74","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=7c5faec2-28c6-4c15-a268-d8b578140b74"
"Nighttime Cold and Flu","Acetaminophen, Dextromethorphan Hydrobromide, and Doxylamine Succinate","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE","combo","D&C YELLOW NO. 10; FD&C BLUE NO. 1; GELATIN, UNSPECIFIED; GLYCERIN; LECITHIN, SOYBEAN; LIGHT MINERAL OIL; MANNITOL; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SORBITAN; SORBITOL","gluten_free","","","66715-6816","","OTC Monograph Drug","active","Lil' Drug Store Products, Inc.","8f320235-f243-4211-b99c-18526e686548","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8f320235-f243-4211-b99c-18526e686548"
"SAFETUSSIN MAX STRENGTH MS","Acetaminophen, Dextromethorphan Hydrobromide, and Guaifenesin","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN","combo","CROSPOVIDONE (120 .MU.M); HYPROMELLOSE 2208 (100 MPA.S); MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; STEARIC ACID; SUCRALOSE","gluten_free","","","55505-230","55505-230-24","OTC Monograph Drug","active","KRAMER LABORATORIES","920bde5f-4079-45de-aa59-24b00e50cb56","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=920bde5f-4079-45de-aa59-24b00e50cb56"
"Tension Headache Relief","ACETAMINOPHEN, CAFFEINE","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; CAFFEINE","combo","CROSCARMELLOSE SODIUM; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; TALC; MICROCRYSTALLINE CELLULOSE; SILICON DIOXIDE; STARCH, CORN; TITANIUM DIOXIDE; D&C RED NO. 27; FD&C BLUE NO. 2; MAGNESIUM STEARATE; STEARIC ACID; FD&C YELLOW NO. 6","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","72090-004","72090-004-02","OTC Monograph Drug","active","Pioneer Life Sciences, LLC","ac9efd62-8fee-b777-e053-2995a90a3783","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac9efd62-8fee-b777-e053-2995a90a3783"
"Pain Relief PM","ACETAMINOPHEN, DIPHENHYDRAMINE","otc_monograph","analgesic_antipyretic","TABLET","ORAL","DIPHENHYDRAMINE HYDROCHLORIDE; ACETAMINOPHEN","combo","FD&C BLUE NO. 1; FD&C BLUE NO. 2; HYPROMELLOSE, UNSPECIFIED; MICROCRYSTALLINE CELLULOSE; Magnesium Stearate; POLYETHYLENE GLYCOL 400; STARCH, CORN; POVIDONE, UNSPECIFIED; STEARIC ACID; Titanium Dioxide","gluten_free","STARCH, CORN","gluten_free","72090-006","72090-006-25","OTC Monograph Drug","active","Pioneer Life Sciences, LLC","ad29a37f-39a2-5c84-e053-2995a90a2f39","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ad29a37f-39a2-5c84-e053-2995a90a2f39"
"Circle K Daytime Cold and Flu","Acetaminophen, Dextromethorphan Hydrobromide, and PHENYLEPHRINE HYDROCHLORIDE","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","FD&C YELLOW NO. 6; FD&C RED NO. 40; GELATIN, UNSPECIFIED; GLYCERIN; LECITHIN, SOYBEAN; LIGHT MINERAL OIL; MANNITOL; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SORBITAN; SORBITOL","gluten_free","","","66715-5771","","OTC Monograph Drug","completed","Lil' Drug Store Products, Inc.","b6a46498-d9a8-4da2-9283-57d135f305a5","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b6a46498-d9a8-4da2-9283-57d135f305a5"
"Circle K Daytime Cold and Flu","Acetaminophen, Dextromethorphan Hydrobromide, and PHENYLEPHRINE HYDROCHLORIDE","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","FD&C YELLOW NO. 6; FD&C RED NO. 40; GELATIN, UNSPECIFIED; GLYCERIN; LECITHIN, SOYBEAN; LIGHT MINERAL OIL; MANNITOL; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; WATER; SORBITAN; SORBITOL","gluten_free","","","66715-5571","","OTC Monograph Drug","active","Lil' Drug Store Products, Inc.","b6a46498-d9a8-4da2-9283-57d135f305a5","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b6a46498-d9a8-4da2-9283-57d135f305a5"
"Allergy and Headache","Acetaminophen, Diphenhydramine HCl","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE","combo","STARCH, CORN; CROSCARMELLOSE SODIUM; CROSPOVIDONE, UNSPECIFIED; FD&C BLUE NO. 1 ALUMINUM LAKE; HYPROMELLOSE, UNSPECIFIED; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYDEXTROSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE K30; SILICON DIOXIDE; STEARIC ACID; TITANIUM DIOXIDE; TRIACETIN","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","51316-561","","OTC Monograph Drug","active","CVS WOONSOCKET PRESCRIPTION CENTER, INCORPORATED","dc249163-26dd-42ca-b423-2f16299f2d65","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=dc249163-26dd-42ca-b423-2f16299f2d65"
"ACETAMINOPHEN AND CODEINE PHOSPHATE","acetaminophen and codeine phosphate","generic","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; CODEINE PHOSPHATE","combo","CROSPOVIDONE (15 MPA.S AT 5%); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; STARCH, CORN; STEARIC ACID","gluten_free","STARCH, CORN","gluten_free","0406-0483","0406-0483-01","ANDA","active","SpecGx LLC","eadc80fa-13c3-471a-a22f-6fe7e1ab290f","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eadc80fa-13c3-471a-a22f-6fe7e1ab290f"
"ACETAMINOPHEN AND CODEINE PHOSPHATE","acetaminophen and codeine phosphate","generic","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; CODEINE PHOSPHATE","combo","CROSPOVIDONE (15 MPA.S AT 5%); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; STARCH, CORN; STEARIC ACID","gluten_free","STARCH, CORN","gluten_free","0406-0484","0406-0484-20","ANDA","completed","SpecGx LLC","eadc80fa-13c3-471a-a22f-6fe7e1ab290f","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eadc80fa-13c3-471a-a22f-6fe7e1ab290f"
"ACETAMINOPHEN AND CODEINE PHOSPHATE","acetaminophen and codeine phosphate","generic","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; CODEINE PHOSPHATE","combo","CROSPOVIDONE (15 MPA.S AT 5%); MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; STARCH, CORN; STEARIC ACID","gluten_free","STARCH, CORN","gluten_free","0406-0485","0406-0485-01","ANDA","active","SpecGx LLC","eadc80fa-13c3-471a-a22f-6fe7e1ab290f","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=eadc80fa-13c3-471a-a22f-6fe7e1ab290f"
"NIGHTTIME SEVERE COLD AND FLU","ACETAMINOPHEN, DEXTROMETHORPHAN HBR, DOXYLAMINE SUCCINATE, PHENYLEPHRINE HCL","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","DEXTROMETHORPHAN HYDROBROMIDE; ACETAMINOPHEN; DOXYLAMINE SUCCINATE; PHENYLEPHRINE HYDROCHLORIDE","combo","POLYETHYLENE GLYCOL, UNSPECIFIED; SHELLAC; GLYCERIN; FD&C BLUE NO. 1; GELATIN; WATER; SORBITOL; TITANIUM DIOXIDE","gluten_free","","","41226-626","41226-626-08","OTC Monograph Drug","active","KROGER","a690f5c5-ff41-4072-e053-2995a90a8e55","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a690f5c5-ff41-4072-e053-2995a90a8e55"
"Cold and Flu","Acetaminophen, Dextromethorphan HBr, Triprolidine HCl","otc_monograph","analgesic_antipyretic","SOLUTION","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; TRIPROLIDINE HYDROCHLORIDE","combo","ANHYDROUS CITRIC ACID; FD&C BLUE NO. 1; FD&C RED NO. 40; FD&C YELLOW NO. 6; GLYCERIN; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SUCRALOSE; XANTHAN GUM","gluten_free","XANTHAN GUM","gluten_free","0363-8063","0363-8063-45","OTC Monograph Drug","active","Walgreen Company","de4e8af4-d3d0-44b3-aea3-79016803ccdc","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=de4e8af4-d3d0-44b3-aea3-79016803ccdc"
"Childrens Pain and Fever","ACETAMINOPHEN","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","ACETAMINOPHEN","single","ANHYDROUS CITRIC ACID; BUTYLPARABEN; D&C RED NO. 33; FD&C BLUE NO. 1; GLYCERIN; HIGH FRUCTOSE CORN SYRUP; MICROCRYSTALLINE CELLULOSE; CARBOXYMETHYLCELLULOSE SODIUM; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SORBITOL; SUCRALOSE; XANTHAN GUM","gluten_free","HIGH FRUCTOSE CORN SYRUP; XANTHAN GUM","gluten_free; gluten_free","53943-526","53943-526-24","OTC Monograph Drug","active","Discount Drug Mart","2aa0f9f3-924c-4a4a-bb5f-2a326acc2408","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=2aa0f9f3-924c-4a4a-bb5f-2a326acc2408"
"Nite-Time","ACETAMINOPHEN","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE","combo","CITRIC ACID MONOHYDRATE; D&C YELLOW NO. 10; FD&C GREEN NO. 3; FD&C YELLOW NO. 6; GLYCERIN; POLYETHYLENE GLYCOL 400; PROPYLENE GLYCOL; WATER; SACCHARIN SODIUM; SODIUM BENZOATE; SODIUM CITRATE; SUCROSE","gluten_free","","","76281-501","76281-501-28","OTC Monograph Drug","active","AptaPharma Inc.","344440bc-d810-4296-93ec-e6ae6673856b","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=344440bc-d810-4296-93ec-e6ae6673856b"
"Midol Complete","ACETAMINOPHEN, CAFFEINE, and PYRILAMINE MALEATE","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; CAFFEINE; PYRILAMINE MALEATE","combo","CARNAUBA WAX; CROSCARMELLOSE SODIUM; FD&C BLUE NO. 2; HYPROMELLOSES; MAGNESIUM STEARATE; CELLULOSE, MICROCRYSTALLINE; PROPYLENE GLYCOL; SHELLAC; TITANIUM DIOXIDE; TRIACETIN","gluten_free","CROSCARMELLOSE SODIUM","gluten_free","85237-1841","","OTC Monograph Drug","active","Select Consumer Group","3ca96ed9-d9af-dbfe-e063-6394a90a2932","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3ca96ed9-d9af-dbfe-e063-6394a90a2932"
"Excedrin","Acetaminophen, Aspirin (NSAID), Caffeine","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; ASPIRIN; CAFFEINE","combo","SODIUM STARCH GLYCOLATE TYPE A; STEARIC ACID; TITANIUM DIOXIDE; STARCH, CORN; CROSPOVIDONE, UNSPECIFIED; HYPROMELLOSE, UNSPECIFIED; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; SODIUM LAURYL SULFATE","unknown","SODIUM STARCH GLYCOLATE TYPE A; STARCH, CORN","unknown; gluten_free","85237-1868","","OTC Monograph Drug","active","Select Consumer Group","3caa0a47-de83-90d2-e063-6394a90a3436","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3caa0a47-de83-90d2-e063-6394a90a3436"
"Excedrin","Acetaminophen, Aspirin, and Caffeine","brand","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; ASPIRIN; CAFFEINE","combo","BENZOIC ACID; CARNAUBA WAX; FD&C BLUE NO. 1; HYPROMELLOSE, UNSPECIFIED; LIGHT MINERAL OIL; HYDROXYPROPYL CELLULOSE, UNSPECIFIED; MICROCRYSTALLINE CELLULOSE; POLYSORBATE 20; POVIDONE, UNSPECIFIED; PROPYLENE GLYCOL; DIMETHICONE, UNSPECIFIED; SORBITAN MONOLAURATE; STEARIC ACID; TITANIUM DIOXIDE","gluten_free","","","85237-1871","","NDA","active","Select Consumer Group","3caa4adf-abe3-67c3-e063-6294a90a87a4","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3caa4adf-abe3-67c3-e063-6294a90a87a4"
"Daytime Cold and Flu","Acetaminophen and Dextromethorphan hydrobromide","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","DEXTROMETHORPHAN HYDROBROMIDE; ACETAMINOPHEN","combo","GLYCERIN; GELATIN TYPE B BOVINE (150 BLOOM); POLYETHYLENE GLYCOL 400; WATER; SORBITOL; POVIDONE K12; SORBITAN; PROPYLENE GLYCOL; FD&C RED NO. 40; FD&C YELLOW NO. 6","gluten_free","","","53345-056","","OTC Monograph Drug","active","Humanwell PuraCap Pharmaceuticals (Wuhan) Co., Ltd","46996bbf-948c-0aba-e063-6394a90a09e3","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=46996bbf-948c-0aba-e063-6394a90a09e3"
"GenCare Headache Relief","ACETAMINOPHEN, Aspirin, Caffeine","otc_monograph","analgesic_antipyretic","TABLET","ORAL","CAFFEINE; ACETAMINOPHEN; ASPIRIN","combo","SILICON DIOXIDE; HYPROMELLOSE, UNSPECIFIED; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; STARCH, CORN; POVIDONE K30; STEARIC ACID; TALC","gluten_free","STARCH, CORN","gluten_free","72090-007","72090-007-03","OTC Monograph Drug","active","Pioneer Life Sciences, LLC","667f6f1b-5179-481c-a131-940c7937aada","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=667f6f1b-5179-481c-a131-940c7937aada"
"Nite-Time","ACETAMINOPHEN","otc_monograph","analgesic_antipyretic","LIQUID","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE","combo","CITRIC ACID MONOHYDRATE; FD&C BLUE NO. 1; FD&C RED NO. 40; GLYCERIN; POLYETHYLENE GLYCOL 400; PROPYLENE GLYCOL; WATER; SACCHARIN SODIUM; SODIUM BENZOATE; SODIUM CITRATE; SUCROSE","gluten_free","","","76281-502","76281-502-28","OTC Monograph Drug","active","AptaPharma Inc.","87c2b823-ed88-44f3-8f6a-df30430b40f3","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=87c2b823-ed88-44f3-8f6a-df30430b40f3"
"Cystex","Acetaminophen, Diphenhydramine HCl","otc_monograph","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; DIPHENHYDRAMINE HYDROCHLORIDE","combo","SILICON DIOXIDE; STARCH, CORN; CROSCARMELLOSE SODIUM; FD&C BLUE NO. 2--ALUMINUM LAKE; FD&C RED NO. 40; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; STEARIC ACID; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","69693-417","","OTC Monograph Drug","active","Clarion Brands, LLC","9668a2ca-729e-4172-80b5-33e6c5175ba4","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=9668a2ca-729e-4172-80b5-33e6c5175ba4"
"Childrens Pain Relief and Fever Reducer Oral Suspension Cherry","ACETAMINOPHEN","otc_monograph","analgesic_antipyretic","SUSPENSION","ORAL","ACETAMINOPHEN","single","ANHYDROUS CITRIC ACID; BUTYLPARABEN; FD&C RED NO. 40; GLYCERIN; HIGH FRUCTOSE CORN SYRUP; CELLULOSE, MICROCRYSTALLINE; CARBOXYMETHYLCELLULOSE SODIUM; PROPYLENE GLYCOL; WATER; SODIUM BENZOATE; SORBITOL SOLUTION; SUCRALOSE; XANTHAN GUM","gluten_free","HIGH FRUCTOSE CORN SYRUP; XANTHAN GUM","gluten_free; gluten_free","83474-001","","OTC Monograph Drug","active","Puro Pharma Inc.","a2afaee7-19f3-4a42-a5b8-1d0ef3ecf009","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a2afaee7-19f3-4a42-a5b8-1d0ef3ecf009"
"Gencare DayTime Cold and Flu Softgel","ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","POLYETHYLENE GLYCOL 400; PROPYLENE GLYCOL; POVIDONE; Gelatin; Sorbitol; GLYCERIN; FD&C RED NO. 40; FD&C YELLOW NO. 6; Titanium Dioxide","gluten_free","","","72090-005","72090-005-01","OTC Monograph Drug","active","Pioneer Life Sciences, LLC","a9875dc9-6a27-413c-a2c7-68a86483ffc1","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=a9875dc9-6a27-413c-a2c7-68a86483ffc1"
"Menstrual Complete","ACETAMINOPHEN, CAFFEINE, PYRILAMINE MALEATE","otc_monograph","analgesic_antipyretic","TABLET","ORAL","CAFFEINE; PYRILAMINE MALEATE; ACETAMINOPHEN","combo","SILICON DIOXIDE; HYPROMELLOSES; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; STARCH, CORN; POVIDONE; STEARIC ACID; TITANIUM DIOXIDE; TALC","gluten_free","STARCH, CORN","gluten_free","72090-026","72090-026-02","OTC Monograph Drug","active","Pioneer Life Sciences, LLC","aa2de3a5-a20d-33c6-e053-2a95a90ada3e","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=aa2de3a5-a20d-33c6-e053-2a95a90ada3e"
"GenCare Headache Relief","ACETAMINOPHEN, Aspirin, Caffeine","otc_monograph","analgesic_antipyretic","TABLET","ORAL","CAFFEINE; ACETAMINOPHEN; ASPIRIN","combo","SILICON DIOXIDE; HYPROMELLOSE, UNSPECIFIED; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; STARCH, CORN; POVIDONE K30; STEARIC ACID; TALC","gluten_free","STARCH, CORN","gluten_free","72090-007","72090-007-02","OTC Monograph Drug","active","Pioneer Life Sciences, LLC","ac8c4bdf-30c9-2b09-e053-2a95a90a9b67","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=ac8c4bdf-30c9-2b09-e053-2a95a90a9b67"
