"drug_name","generic_name","brand_generic","category","dosage_form","route","active_ingredients","single_or_combo","excipients_raw","gluten_flag","flagged_excipients","flagged_excipient_flags","ndc_code","package_ndc","approval_type","marketing_status","manufacturer","set_id","dailymed_url"
"Rapidol","ACETAMINOPHEN","otc_monograph","analgesic_antipyretic","CAPSULE, COATED","ORAL","ACETAMINOPHEN","single","TITANIUM DIOXIDE; STARCH, CORN; HYPROMELLOSE, UNSPECIFIED; MAGNESIUM STEARATE; POLYETHYLENE GLYCOL, UNSPECIFIED; POVIDONE; STEARIC ACID; MICROCRYSTALLINE CELLULOSE; TALC","gluten_free","STARCH, CORN","gluten_free","55758-503","","OTC Monograph Drug","active","Pharmadel LLC","3a210860-1fc1-e496-e063-6394a90a8705","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3a210860-1fc1-e496-e063-6394a90a8705"
"Sanatos","Acetaminophen, Dextromethorphan, Phenylephrine","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE","combo","FD&C RED NO. 40; FD&C YELLOW NO. 6; GELATIN; GLYCERIN; POLYETHYLENE GLYCOL 400; POVIDONE K30; PROPYLENE GLYCOL; WATER; SORBITOL; SORBITAN","gluten_free","","","55758-508","","OTC Monograph Drug","active","Pharmadel LLC","3bddcd5a-7776-49ff-e063-6294a90a5dd1","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3bddcd5a-7776-49ff-e063-6294a90a5dd1"
"Sanatos","Acetaminophen, Dextromethorphan HBr, Doxylamine Succinate","otc_monograph","analgesic_antipyretic","CAPSULE, LIQUID FILLED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; DOXYLAMINE SUCCINATE","combo","SORBITAN; FD&C BLUE NO. 1; D&C YELLOW NO. 10; GELATIN; GLYCERIN; POLYETHYLENE GLYCOL 400; POVIDONE K30; PROPYLENE GLYCOL; WATER; SORBITOL","gluten_free","","","55758-510","","OTC Monograph Drug","active","Pharmadel LLC","3dd3ed85-0c0a-8390-e063-6294a90a668e","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=3dd3ed85-0c0a-8390-e063-6294a90a668e"
"Period Pills by Biikay","acetaminophen, ibuprofen","generic","analgesic_antipyretic","TABLET","ORAL","ACETAMINOPHEN; IBUPROFEN","combo","MICROCRYSTALLINE CELLULOSE; CROSCARMELLOSE SODIUM; CROSPOVIDONE; TITANIUM DIOXIDE; FERRIC OXIDE YELLOW; CARNAUBA WAX; FERRIC OXIDE RED; MAGNESIUM STEARATE; POVIDONE; SODIUM LAURYL SULFATE; POLYDEXTROSE","gluten_free","CROSCARMELLOSE SODIUM","gluten_free","85576-101","85576-101-36","ANDA","active","Kai Squared","40d2ae73-82cf-3fa1-e063-6394a90a9ea2","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=40d2ae73-82cf-3fa1-e063-6394a90a9ea2"
"Severe Cold and Flu","Acetaminophen, Dextromethorphan HBr, Guaifenesin, Phenylephrine HCl","otc_monograph","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; GUAIFENESIN; PHENYLEPHRINE HYDROCHLORIDE","combo","STARCH, CORN; CROSPOVIDONE, UNSPECIFIED; D&C YELLOW NO. 10 ALUMINUM LAKE; MAGNESIUM STEARATE; MALTODEXTRIN; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; SODIUM STARCH GLYCOLATE TYPE A POTATO; STEARIC ACID; SUCRALOSE; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; MALTODEXTRIN; SODIUM STARCH GLYCOLATE TYPE A POTATO","gluten_free; gluten_free; gluten_free","70000-0525","","OTC Monograph Drug","active","Cardinal Health 110, LLC. DBA Leader","610accad-2f8b-4605-9357-a58e6e18d417","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=610accad-2f8b-4605-9357-a58e6e18d417"
"Butalbital, Acetaminophen, Caffeine and Codeine Phosphate","Butalbital, Acetaminophen, Caffeine and Codeine Phosphate","generic","analgesic_antipyretic","CAPSULE","ORAL","BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE","combo","STARCH, CORN; SILICON DIOXIDE; MAGNESIUM STEARATE; SHELLAC; TITANIUM DIOXIDE; FD&C BLUE NO. 1; GELATIN, UNSPECIFIED; FERROSOFERRIC OXIDE; FD&C RED NO. 40; DIMETHICONE, UNSPECIFIED; PROPYLENE GLYCOL; AMMONIA","gluten_free","STARCH, CORN","gluten_free","0054-0650","0054-0650-25","ANDA","active","Hikma Pharmaceuticals USA Inc.","6e0e8abc-512b-42f7-8323-434c589edecf","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6e0e8abc-512b-42f7-8323-434c589edecf"
"Butalbital, Acetaminophen, Caffeine and Codeine Phosphate","Butalbital, Acetaminophen, Caffeine and Codeine Phosphate","generic","analgesic_antipyretic","CAPSULE","ORAL","BUTALBITAL; ACETAMINOPHEN; CAFFEINE; CODEINE PHOSPHATE","combo","STARCH, CORN; SILICON DIOXIDE; MAGNESIUM STEARATE; SHELLAC; TITANIUM DIOXIDE; GELATIN, UNSPECIFIED; FERROSOFERRIC OXIDE; FD&C RED NO. 3; FD&C BLUE NO. 2; FERRIC OXIDE RED; FERRIC OXIDE YELLOW; DIMETHICONE, UNSPECIFIED; PROPYLENE GLYCOL; AMMONIA","gluten_free","STARCH, CORN","gluten_free","0054-3000","0054-3000-01","ANDA","active","Hikma Pharmaceuticals USA Inc.","6e0e8abc-512b-42f7-8323-434c589edecf","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=6e0e8abc-512b-42f7-8323-434c589edecf"
"DUAL ACTION BACK PAIN RELIEVER","acetaminophen, ibuprofen","generic","analgesic_antipyretic","TABLET, FILM COATED","ORAL","ACETAMINOPHEN; IBUPROFEN","combo","SILICON DIOXIDE; STARCH, CORN; CROSCARMELLOSE SODIUM; CROSPOVIDONE, UNSPECIFIED; FERRIC OXIDE YELLOW; MICROCRYSTALLINE CELLULOSE; POLYETHYLENE GLYCOL, UNSPECIFIED; POLYVINYL ALCOHOL, UNSPECIFIED; POVIDONE, UNSPECIFIED; STEARIC ACID; SUCRALOSE; TALC; TITANIUM DIOXIDE","gluten_free","STARCH, CORN; CROSCARMELLOSE SODIUM","gluten_free; gluten_free","79481-0152","79481-0152-1","ANDA","active","Meijer, Inc.","8d9a0c56-ef22-45a6-8b1d-d2b2f3247210","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=8d9a0c56-ef22-45a6-8b1d-d2b2f3247210"
"Butalbital, Acetaminophen, Caffeine","Butalbital, Acetaminophen, and Caffeine","generic","analgesic_antipyretic","TABLET","ORAL","BUTALBITAL; ACETAMINOPHEN; CAFFEINE","combo","SILICON DIOXIDE; CROSPOVIDONE, UNSPECIFIED; MAGNESIUM STEARATE; MICROCRYSTALLINE CELLULOSE; POVIDONE, UNSPECIFIED; STEARIC ACID","gluten_free","","","68788-8137","68788-8137-2","ANDA","active","Preferred Pharmaceuticals Inc.","b121190e-db2a-43bb-a57d-b6683a9e2059","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=b121190e-db2a-43bb-a57d-b6683a9e2059"
"hydrocodone bitartrate and acetaminophen","hydrocodone bitartrate and acetaminophen","generic","analgesic_antipyretic","TABLET","ORAL","HYDROCODONE BITARTRATE; ACETAMINOPHEN","combo","CELLULOSE, MICROCRYSTALLINE; CROSCARMELLOSE SODIUM; MAGNESIUM STEARATE; POVIDONE, UNSPECIFIED; SILICON DIOXIDE; STARCH, CORN; STEARIC ACID; FD&C YELLOW NO. 6","gluten_free","CROSCARMELLOSE SODIUM; STARCH, CORN","gluten_free; gluten_free","63629-1179","63629-1179-1","ANDA","active","Bryant Ranch Prepack","c648e299-2a8b-4530-a061-c6fd9cd1294c","https://dailymed.nlm.nih.gov/dailymed/drugInfo.cfm?setid=c648e299-2a8b-4530-a061-c6fd9cd1294c"
